pl_hostname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,hip_name,ra,dec,st_radv,st_radverr1,st_radverr2,st_optmag,st_optmagerr,st_optband,st_bmvj,st_bmvjerr,st_rad,st_raderr1,st_raderr2,st_metfe,st_metfeerr1,st_metfeerr2,st_teff,st_tefferr1,st_tefferr2,st_logg,st_loggerr1,st_loggerr2,st_age,st_ageerr1,st_ageerr2,pl_disc_refname,pl_letter
WASP-26,2.75660000,0.00001000,-0.00001000,,,,0.000000,,,82.500,0.500,-0.500,0.85000,0.23000,-0.23000,0,1.210,,4.602897,-15.267305,8.46,0.00,,,,,,,1.22,0.15,-0.15,0.160,,,6034.00,31.00,-31.00,4.44,0.06,-0.06,,,,Smalley et al. 2013,b
HD 1461,5.77152000,0.00045000,-0.00045000,0.063400,0.002200,-0.002200,0.172000,,,,,,0.02026,0.00192,-0.00192,0,,HIP 1499,4.674448,-8.053001,-10.06,0.00,-0.00,6.470,,V (Johnson),0.680,,,,,0.190,0.010,-0.010,5765.00,18.00,-18.00,4.38,0.03,-0.03,,,,Rivera et al. 2010,b
HD 1461,13.50520000,0.00290000,-0.00290000,0.111700,0.003900,-0.003900,0.305000,,,,,,0.01759,0.00230,-0.00230,0,,HIP 1499,4.674448,-8.053001,-10.06,0.00,-0.00,6.470,,V (Johnson),0.680,,,,,0.190,0.010,-0.010,5765.00,18.00,-18.00,4.38,0.03,-0.03,,,,D&iacute;az et al. 2016,c
HD 1502,428.50000000,1.20000000,-1.20000000,1.262000,0.092000,-0.092000,0.031000,0.022000,-0.022000,,,,2.75000,0.16000,-0.16000,0,,HIP 1547,4.821110,14.054755,-9.81,0.17,-0.17,8.360,,V (Johnson),0.920,,4.67,,,,,,4947.00,,,3.18,,,,,,Johnson et al. 2011,b
Qatar-4,1.80535640,,,0.028030,0.000480,-0.000480,0.000000,,,87.500,1.600,-1.600,6.10000,0.54000,-0.54000,0,1.135,,4.859266,44.027641,-28.76,0.10,-0.10,13.600,,V (Johnson),,,0.85,0.06,-0.06,0.103,0.081,-0.081,5215.00,50.00,-50.00,4.53,0.06,-0.06,0.170,0.010,-0.010,Alsubai et al. 2017,b
HD 1605,577.20000000,2.50000000,-2.50000000,1.492000,0.038000,-0.038000,0.095000,0.057000,-0.057000,,,,0.93400,0.07900,-0.07900,0,,HIP 1640,5.131330,30.974804,9.93,0.17,-0.17,7.520,,V (Johnson),0.961,,3.49,0.22,-0.22,0.220,,,4915.00,,,,,,4.360,0.970,-0.970,Harakawa et al. 2015,b
HD 1605,2149.00000000,16.00000000,-16.00000000,3.584000,0.099000,-0.099000,0.099000,0.011000,-0.011000,,,,3.62000,0.23000,-0.23000,0,,HIP 1640,5.131330,30.974804,9.93,0.17,-0.17,7.520,,V (Johnson),0.961,,3.49,0.22,-0.22,0.220,,,4915.00,,,,,,4.360,0.970,-0.970,Harakawa et al. 2015,c
WASP-20,4.89962840,0.00000330,-0.00000330,0.060000,0.000690,-0.000690,0.000000,,,85.560,0.220,-0.220,0.31100,0.01700,-0.01700,0,1.462,,5.160559,-23.935728,1.32,0.00,-0.00,10.680,,V (Johnson),0.490,,1.39,0.04,-0.04,-0.008,0.060,-0.060,5940.00,100.00,-100.00,4.23,0.02,-0.02,7.000,2.000,-1.000,Anderson et al. 2015,b
WASP-1,2.51994540,0.00000050,-0.00000050,0.038890,0.000530,-0.000730,0.000000,,,90.000,1.300,-1.300,0.85400,0.05700,-0.05200,0,1.483,,5.166978,31.989990,-13.50,0.01,,11.790,,V (Johnson),0.928,0.232,1.47,0.02,-0.03,,,,,,,,,,3.400,1.200,-0.600,Collier Cameron et al. 2007,b
HD 1666,270.00000000,0.80000000,-0.90000000,0.940000,0.010000,-0.020000,0.630000,0.030000,-0.020000,,,,6.43000,0.31000,-0.22000,0,,HIP 1666,5.218085,-19.931225,17.50,0.50,-0.50,8.170,,V (Johnson),0.530,,1.93,0.49,-0.49,0.370,0.040,-0.040,6317.00,44.00,-44.00,4.06,0.06,-0.06,1.760,0.200,-0.200,Harakawa et al. 2015,b
WASP-45,3.12608900,0.00000300,-0.00000300,0.039630,0.001140,-0.001120,,,,85.020,0.200,-0.220,0.96400,0.05800,-0.05600,0,0.946,,5.237497,-35.998260,4.55,0.00,-0.00,12.000,,V (Johnson),,,0.85,0.04,-0.04,-0.030,0.200,-0.200,5150.00,200.00,-200.00,4.50,0.03,-0.03,,,,Anderson et al. 2011,b
HD 1690,533.00000000,1.70000000,-1.70000000,1.360000,0.090000,-0.090000,0.640000,0.040000,-0.040000,,,,8.79000,3.63000,-3.63000,0,,HIP 1692,5.305497,-8.281169,18.23,0.03,-0.03,9.170,,V (Johnson),1.354,,21.66,6.18,-6.18,-0.270,,,4374.00,31.00,-31.00,2.04,0.03,-0.03,,,,Moutou et al. 2011,b
HATS-30,3.17435160,0.00000260,-0.00000260,0.043540,0.000420,-0.000420,0.096000,,,86.840,0.480,-0.480,0.70600,0.03900,-0.03900,0,1.175,,5.618693,-59.942551,-0.08,0.00,-0.00,12.192,0.010,V (Johnson),0.661,0.014,1.06,0.04,-0.04,0.060,0.050,-0.050,5943.00,70.00,-70.00,4.42,0.03,-0.03,2.300,1.200,-1.200,Espinoza et al. 2016,b
HD 2039,1120.00000000,23.00000000,-23.00000000,2.200000,0.060000,-0.060000,0.710000,0.050000,-0.050000,,,,6.29000,1.16000,-1.16000,0,,HIP 1931,6.084491,-56.650047,8.40,0.20,-0.20,9.000,,V (Johnson),0.660,,1.19,0.03,-0.03,0.300,,,5945.00,36.00,-36.00,4.38,0.06,-0.06,,,,Tinney et al. 2003,b
HATS-46,4.74237290,0.00000490,-0.00000490,0.053670,0.000530,-0.000530,0.559000,,,87.320,0.220,-0.310,0.17300,0.06200,-0.06200,0,0.903,,6.702417,-56.316113,-30.19,0.01,-0.01,13.634,0.050,V (Johnson),,,0.85,0.04,-0.03,-0.060,0.046,-0.046,5495.00,69.00,-69.00,4.54,0.04,-0.04,3.000,3.400,-2.100,Brahm et al. 2018,b
Qatar-5,2.87923190,,,0.041270,0.000670,-0.000670,0.000000,,,88.740,0.870,-0.870,4.32000,0.18000,-0.18000,0,1.107,,7.053898,42.061333,-9.54,0.10,-0.10,12.820,,V (Johnson),,,1.08,0.05,-0.05,0.377,0.080,-0.080,5747.00,49.00,-49.00,4.43,0.04,-0.04,0.530,0.004,-0.004,Alsubai et al. 2017,b
BD-17 63,655.60000000,0.60000000,-0.60000000,1.340000,0.020000,-0.020000,0.540000,0.005000,-0.005000,,,,5.10000,0.12000,-0.12000,0,,HIP 2247,7.142942,-16.226345,3.40,0.78,-0.78,9.566,0.024,V (Johnson),1.165,0.051,0.69,,,-0.030,0.060,-0.060,4714.00,93.00,-93.00,4.26,0.24,-0.24,4.300,4.000,-4.000,Moutou et al. 2009,b
HD 2685,4.12688000,0.00005000,-0.00004000,0.056800,0.000600,-0.000600,0.091000,0.039000,-0.047000,89.252,0.415,-0.444,1.17000,0.12000,-0.12000,0,1.440,,7.328958,-76.304061,3.64,0.45,-0.45,,,,,,1.56,0.05,-0.05,0.020,0.060,-0.060,6801.00,76.00,-76.00,4.21,0.03,-0.03,1.310,0.340,-0.470,Jones et al. 2019,b
HD 2638,3.44420000,0.00020000,-0.00020000,0.040000,0.000000,0.000000,0.000000,,,,,,0.42000,0.03000,-0.03000,0,,HIP 2350,7.499466,-5.764002,9.63,0.00,-0.00,9.375,0.023,V (Johnson),0.955,0.043,0.94,0.03,-0.03,0.130,,,5186.00,8.00,-8.00,4.38,0.04,-0.04,,,,Moutou et al. 2005,b
WASP-190,5.36775300,0.00000400,-0.00000400,0.066300,0.000800,-0.000800,0.000000,,,87.100,0.700,-0.700,1.00000,0.10000,-0.10000,0,1.150,,7.709304,-40.573433,0.82,0.01,-0.01,,,,,,1.60,0.10,-0.10,-0.020,0.050,-0.050,6400.00,100.00,-100.00,4.17,0.04,-0.04,,,,Temple et al. 2018,b
HD 2952,311.60001000,1.80000000,-1.80000000,1.230000,0.020000,-0.020000,0.130000,0.090000,-0.090000,,,,1.37000,0.26000,-0.26000,0,,HIP 2611,8.293311,54.894985,-34.86,0.12,-0.12,5.922,0.009,V (Johnson),1.038,0.017,10.76,0.58,-0.58,0.000,,,4844.00,20.00,-20.00,2.67,0.07,-0.07,,,,Sato et al. 2013,b
HD 3167,29.83832000,0.00290500,-0.00319900,0.184100,0.002700,-0.002800,,,,,,,,,,0,0.255,HIP 2736,8.739684,4.381469,19.50,0.10,-0.10,8.940,0.020,V (Johnson),0.826,0.027,0.87,0.01,-0.01,-0.020,0.170,-0.170,5528.00,162.00,-162.00,4.53,0.02,-0.02,,,,Vanderburg et al. 2016,c
HD 3167,8.50900000,0.04500000,-0.04500000,0.077570,0.000270,-0.000270,0.360000,,,,,,0.02171,0.00223,-0.00223,0,,HIP 2736,8.739684,4.381469,19.50,0.10,-0.10,8.940,0.020,V (Johnson),0.826,0.027,0.87,0.01,-0.01,-0.020,0.170,-0.170,5528.00,162.00,-162.00,4.53,0.02,-0.02,,,,Christiansen et al. 2017,d
HD 3167,0.95962400,0.00002800,-0.00002800,0.018600,0.000300,-0.000300,,,,,,,,,,0,0.152,HIP 2736,8.739684,4.381469,19.50,0.10,-0.10,8.940,0.020,V (Johnson),0.826,0.027,0.87,0.01,-0.01,-0.020,0.170,-0.170,5528.00,162.00,-162.00,4.53,0.02,-0.02,,,,Vanderburg et al. 2016,b
WASP-93,2.73253210,0.00000200,-0.00000200,0.042110,0.000350,-0.000350,0.000000,,,81.180,0.290,-0.290,1.47000,0.29000,-0.29000,0,1.597,,9.458792,51.288761,-2.79,0.03,-0.03,10.970,,V (Johnson),,,1.52,0.04,-0.04,0.070,0.170,-0.170,6700.00,100.00,-100.00,4.20,0.02,-0.02,0.700,0.650,-0.650,Hay et al. 2016,b
HAT-P-19,4.00877800,0.00000600,-0.00000600,0.046600,0.000800,-0.000800,0.067000,0.042000,-0.042000,88.200,0.400,-0.400,0.29200,0.01800,-0.01800,0,1.132,,9.516742,34.711575,-20.22,0.02,-0.02,12.901,,V (Johnson),,,0.82,0.05,-0.05,0.230,0.080,-0.080,4990.00,130.00,-130.00,4.54,0.05,-0.05,8.800,5.200,-5.200,Hartman et al. 2011,b
HAT-P-16,2.77596000,0.00000300,-0.00000300,0.041300,0.000400,-0.000400,0.036000,0.004000,-0.004000,86.600,0.700,-0.700,4.19300,0.09400,-0.09400,0,1.289,,9.573181,42.463078,-16.83,0.19,-0.19,10.812,,V (Johnson),,,1.24,0.05,-0.05,0.170,0.080,-0.080,6158.00,80.00,-80.00,4.34,0.03,-0.03,2.000,0.800,-0.800,Buchhave et al. 2010,b
K2-149,11.33200000,0.00130000,-0.00130000,0.083000,0.002700,-0.002700,,,,,,,,,,0,0.146,,9.821899,7.277100,,,,14.484,0.160,V (Johnson),1.571,0.171,0.57,0.06,-0.06,0.110,0.120,-0.120,3745.00,70.00,-70.00,4.71,0.05,-0.05,,,,Hirano et al. 2018,b
HD 3651,62.25000000,0.00400000,-0.00400000,0.295000,0.029000,-0.029000,0.645000,0.020000,-0.020000,,,,0.22800,0.01100,-0.01100,0,,HIP 3093,9.840858,21.250473,-33.50,0.10,-0.10,5.860,,V (Johnson),0.850,,,,,,,,5221.00,,,4.45,,,,,,Fischer et al. 2003,b
GJ 27.1,15.81900000,0.02300000,-0.02600000,0.101000,0.009000,-0.013000,0.080000,0.180000,-0.080000,,,,0.04090,0.01290,-0.02077,0,,HIP 3143,9.995098,-44.253220,11.85,0.19,-0.19,11.420,0.014,V (Johnson),1.460,0.020,,,,,,,3542.00,,,,,,,,,Tuomi et al. 2014,b
HD 4113,526.62000000,0.30000000,-0.30000000,1.280000,,,0.903000,0.005000,-0.005000,,,,1.56000,0.04000,-0.04000,0,,HIP 3391,10.802486,-37.982632,4.87,0.05,-0.05,7.881,0.012,V (Johnson),0.726,0.022,,,,0.200,0.040,-0.040,5688.00,26.00,-26.00,4.40,0.05,-0.05,6.400,1.600,-1.600,Tamuz et al. 2008,b
HD 4208,832.97000000,2.15000000,-1.89000000,1.662000,0.015000,-0.015000,0.042000,0.039000,-0.029000,,,,0.81000,0.01400,-0.01500,0,,HIP 3479,11.111043,-26.515680,56.20,0.20,-0.20,7.795,0.011,V (Johnson),0.726,0.008,0.85,0.03,-0.03,-0.280,0.020,-0.020,5717.00,33.00,-33.00,4.50,0.04,-0.04,3.813,2.970,-2.970,Vogt et al. 2002,b
HD 4308,15.56000000,0.02000000,-0.02000000,0.120000,0.000000,0.000000,0.000000,,,,,,0.05000,0.00000,0.00000,0,,HIP 3497,11.163615,-65.649521,95.10,0.20,-0.20,6.560,,V (Johnson),0.650,,1.02,0.01,-0.01,-0.350,,,5686.00,16.00,-16.00,4.39,0.05,-0.05,,,,Udry et al. 2006,b
HD 4203,6700.00000000,4500.00000000,-4500.00000000,6.950000,1.930000,-0.560000,0.240000,0.130000,-0.130000,,,,2.17000,0.52000,-0.52000,0,,HIP 3502,11.171676,20.448927,-14.10,,,8.687,0.017,V (Johnson),0.758,0.031,1.42,0.05,-0.05,0.400,,,5596.00,20.00,-20.00,4.23,0.05,-0.05,,,,Kane et al. 2014,c
HD 4203,431.88000000,0.85000000,-0.85000000,1.170000,0.020000,-0.020000,0.520000,0.030000,-0.030000,,,,2.23000,0.21000,-0.21000,0,,HIP 3502,11.171676,20.448927,-14.10,,,8.687,0.017,V (Johnson),0.758,0.031,1.42,0.05,-0.05,0.400,,,5596.00,20.00,-20.00,4.23,0.05,-0.05,,,,Vogt et al. 2002,b
LHS 1140,24.73695900,0.00008000,-0.00008000,0.093600,0.002400,-0.002400,0.060000,,,89.890,0.050,-0.030,0.02196,0.00280,-0.00280,0,0.154,,11.247240,-15.271532,-13.23,0.60,-0.60,14.180,0.030,V (Johnson),,,0.21,0.00,-0.00,-0.240,0.100,-0.100,3216.00,39.00,-39.00,,,,5.000,,,Dittmann et al. 2017,b
LHS 1140,3.77793100,0.00000300,-0.00000300,0.026750,0.000700,-0.000700,0.310000,,,89.920,0.060,-0.090,0.00569,0.00123,-0.00123,0,0.114,,11.247240,-15.271532,-13.23,0.60,-0.60,14.180,0.030,V (Johnson),,,0.21,0.00,-0.00,-0.240,0.100,-0.100,3216.00,39.00,-39.00,,,,5.000,,,Ment et al. 2019,c
K2-206,18.29454900,0.00172800,-0.00159900,,,,,,,89.112,0.634,-1.221,,,,,0.249,,11.256313,0.593257,27.24,1.16,-1.16,13.100,0.050,V (Johnson),0.857,0.064,0.76,0.03,-0.03,-0.140,0.080,-0.080,5043.00,50.00,-50.00,4.46,0.10,-0.10,,,,Mayo et al. 2018,b
K2-217,14.07452400,0.00099400,-0.00093800,,,,,,,88.043,1.412,-2.975,,,,,0.319,,11.298392,6.481562,-5.95,0.97,-0.97,12.187,0.030,V (Johnson),0.626,0.042,1.33,0.20,-0.17,0.040,0.080,-0.080,5967.00,50.00,-50.00,4.17,0.10,-0.10,,,,Mayo et al. 2018,b
HD 4313,356.21000000,0.88000000,-0.88000000,1.157000,0.097000,-0.097000,0.147000,0.047000,-0.047000,,,,1.92700,0.09000,-0.09000,0,,HIP 3574,11.418160,7.845021,14.67,0.13,-0.13,7.830,,V (Johnson),0.966,0.024,5.14,,,,,,4943.00,,,3.24,,,,,,Johnson et al. 2010,b
K2-216,2.17480000,0.00005000,-0.00005000,0.028000,0.003000,-0.007000,0.000000,,,86.900,2.200,-4.000,0.02517,0.00503,-0.00503,0,0.156,,11.480249,6.346971,-26.16,0.47,-0.47,12.476,0.050,V (Johnson),1.087,0.054,0.72,0.03,-0.03,0.000,0.070,-0.070,4503.00,69.00,-69.00,4.57,0.09,-0.09,,,,Mayo et al. 2018,b
K2-207,12.48749000,0.00120800,-0.00116200,,,,,,,88.620,0.988,-1.589,,,,,0.232,,11.699704,0.640796,-4.39,1.61,-1.61,13.166,0.050,V (Johnson),0.740,0.064,0.93,0.09,-0.05,0.110,0.080,-0.080,5522.00,50.00,-50.00,4.41,0.10,-0.10,,,,Mayo et al. 2018,b
HD 4732,360.20000000,1.40000000,-1.40000000,1.190000,0.050000,-0.050000,0.130000,0.060000,-0.060000,,,,2.37000,0.34000,-0.34000,0,,HIP 3834,12.308117,-24.136671,25.00,0.26,-0.26,5.890,0.009,V (Johnson),0.962,0.017,5.40,0.40,-0.40,0.010,0.040,-0.040,4959.00,25.00,-25.00,3.16,0.08,-0.08,,,,Sato et al. 2013,b
HD 4732,2732.00000000,81.00000000,-81.00000000,4.600000,0.230000,-0.230000,0.230000,0.070000,-0.070000,,,,2.37000,0.38000,-0.38000,0,,HIP 3834,12.308117,-24.136671,25.00,0.26,-0.26,5.890,0.009,V (Johnson),0.962,0.017,5.40,0.40,-0.40,0.010,0.040,-0.040,4959.00,25.00,-25.00,3.16,0.08,-0.08,,,,Sato et al. 2013,c
K2-220,13.68325600,0.00105000,-0.00110000,0.110400,0.001400,-0.001500,,,,,,,,,,0,0.213,,12.769862,9.516806,13.88,1.05,-1.05,11.890,0.020,V (Johnson),0.766,0.036,1.02,0.02,-0.02,0.040,0.050,-0.050,5660.00,92.00,-92.00,4.40,0.03,-0.03,,,,Mayo et al. 2018,b
K2-203,9.69510100,0.00128500,-0.00133400,,,,,,,88.430,1.152,-3.258,,,,,0.122,,12.773741,-1.195891,20.19,0.57,-0.57,12.353,0.030,V (Johnson),0.919,0.050,0.76,0.03,-0.02,-0.070,0.080,-0.080,5000.00,50.00,-50.00,4.43,0.10,-0.10,,,,Mayo et al. 2018,b
HD 4917,400.50000000,1.70000000,-1.70000000,1.167000,0.065000,-0.065000,0.066000,0.041000,-0.041000,,,,1.61500,0.09200,-0.09200,0,,HIP 3975,12.776146,-12.927608,-11.30,0.14,-0.14,8.030,,V (Johnson),1.039,0.028,5.01,,,,,,4802.00,,,2.97,,,,,,Luhn et al. 2018,b
K2-218,8.67988500,0.00041700,-0.00043000,,,,,,,88.453,1.079,-1.840,,,,,0.229,,12.809659,6.846460,-0.34,2.34,-2.34,12.876,0.040,V (Johnson),0.725,0.050,1.01,0.08,-0.05,0.250,0.080,-0.080,5757.00,50.00,-50.00,4.45,0.10,-0.10,,,,Mayo et al. 2018,b
K2-219,11.13727800,0.00080800,-0.00078600,,,,,,,88.287,1.201,-2.037,,,,,0.230,,12.845309,8.867640,-19.96,0.67,-0.67,12.090,0.228,V (Johnson),0.747,0.408,1.19,0.16,-0.14,0.130,0.080,-0.080,5753.00,50.00,-50.00,4.23,0.10,-0.10,,,,Mayo et al. 2018,d
K2-219,3.90128700,0.00066000,-0.00067700,,,,,,,86.795,2.295,-4.798,,,,,0.120,,12.845309,8.867640,-19.96,0.67,-0.67,12.090,0.228,V (Johnson),0.747,0.408,1.19,0.16,-0.14,0.130,0.080,-0.080,5753.00,50.00,-50.00,4.23,0.10,-0.10,,,,Mayo et al. 2018,b
K2-219,6.66767000,0.00128300,-0.00156900,,,,,,,87.269,1.983,-4.913,,,,,0.128,,12.845309,8.867640,-19.96,0.67,-0.67,12.090,0.228,V (Johnson),0.747,0.408,1.19,0.16,-0.14,0.130,0.080,-0.080,5753.00,50.00,-50.00,4.23,0.10,-0.10,,,,Mayo et al. 2018,c
TYC 3667-1280-1,26.46800000,0.00500000,-0.00500000,0.210000,0.010000,-0.010000,0.036000,0.043000,-0.014000,,,,5.40000,0.40000,-0.40000,0,,,12.887344,58.426167,9.54,0.06,-0.06,9.860,0.020,V (Johnson),1.000,0.060,6.26,0.86,-0.86,-0.080,0.050,-0.050,5130.00,24.00,-24.00,3.11,0.09,-0.09,1.350,0.350,-0.280,Niedzielski et al. 2016,b
HAT-P-28,3.25721500,0.00000700,-0.00000700,0.043400,0.000700,-0.000700,0.051000,0.033000,-0.033000,88.000,0.900,-0.900,0.62600,0.03700,-0.03700,0,1.212,,13.000766,34.728413,43.88,0.07,-0.07,13.030,,V (Johnson),,,1.10,0.09,-0.07,0.120,0.080,-0.080,5680.00,90.00,-90.00,4.36,0.06,-0.06,6.100,2.600,-1.900,Buchhave et al. 2011,b
EPIC 220674823,13.33907900,0.00194000,-0.00185900,0.109100,0.001400,-0.001500,,,,,,,,,,0,0.244,,13.079780,10.794699,-15.86,0.13,-0.13,12.102,0.212,V (Johnson),0.475,0.334,0.98,0.02,-0.02,0.130,0.060,-0.060,5617.00,86.00,-86.00,4.45,0.03,-0.03,,,,Adams et al. 2017,c
EPIC 220674823,0.57133100,0.00002000,-0.00002100,0.013400,0.000200,-0.000200,,,,,,,,,,0,0.162,,13.079780,10.794699,-15.86,0.13,-0.13,12.102,0.212,V (Johnson),0.475,0.334,0.98,0.02,-0.02,0.130,0.060,-0.060,5617.00,86.00,-86.00,4.45,0.03,-0.03,,,,Adams et al. 2017,b
K2-213,8.13087000,0.00177100,-0.00179900,,,,,,,87.862,1.568,-3.731,,,,,0.135,,13.140305,3.507705,-6.30,0.81,-0.81,11.803,0.204,V (Johnson),0.918,0.389,1.20,0.17,-0.13,0.250,0.080,-0.080,5794.00,50.00,-50.00,4.25,0.10,-0.10,,,,Mayo et al. 2018,b
